year,month,scam_type,age_group,location,report_count,total_loss,date
2023,6,identity theft,55-64,TAS,32,9666,2023-06-01
2024,9,investment,45-54,TAS,24,15646,2024-09-01
2020,8,investment,35-44,NSW,28,20643,2020-08-01
2024,5,identity theft,45-54,QLD,33,34341,2024-05-01
2023,10,phishing,45-54,NSW,14,30692,2023-10-01
2023,12,phishing,35-44,VIC,16,4465,2023-12-01
2023,7,financial fraud,55-64,ACT,7,18931,2023-07-01
2024,11,identity theft,25-34,QLD,33,35574,2024-11-01
2022,8,identity theft,65+,QLD,31,21430,2022-08-01
2020,12,financial fraud,18-24,WA,2,21314,2020-12-01
2023,5,financial fraud,35-44,VIC,27,6735,2023-05-01
2022,12,investment,65+,NSW,42,33913,2022-12-01
2019,8,phishing,25-34,VIC,31,9956,2019-08-01
2022,10,identity theft,25-34,ACT,20,38153,2022-10-01
2019,9,identity theft,25-34,WA,25,30939,2019-09-01
2024,5,task-based scam,65+,ACT,21,7667,2024-05-01
2025,8,investment,25-34,WA,45,24174,2025-08-01
2025,9,phishing,35-44,NT,8,16363,2025-09-01
2022,1,phishing,65+,QLD,31,20350,2022-01-01
2024,7,task-based scam,65+,NSW,33,1032,2024-07-01
2023,7,investment,65+,WA,17,41507,2023-07-01
2022,11,phishing,35-44,SA,49,23537,2022-11-01
2022,11,financial fraud,18-24,TAS,47,22307,2022-11-01
2023,2,investment,45-54,TAS,12,18731,2023-02-01
2019,12,phishing,65+,SA,32,38936,2019-12-01
2023,2,financial fraud,65+,QLD,45,6789,2023-02-01
2020,12,task-based scam,45-54,TAS,45,42572,2020-12-01
2025,8,phishing,35-44,SA,22,12449,2025-08-01
2025,7,investment,35-44,VIC,36,3908,2025-07-01
2022,3,identity theft,25-34,NT,19,21664,2022-03-01
2020,10,task-based scam,65+,WA,22,5311,2020-10-01
2023,4,identity theft,25-34,WA,46,27508,2023-04-01
2025,3,investment,35-44,WA,39,41806,2025-03-01
2024,4,phishing,55-64,ACT,28,47966,2024-04-01
2023,10,phishing,25-34,ACT,23,31579,2023-10-01
2021,5,investment,35-44,WA,20,10721,2021-05-01
2020,10,investment,18-24,NT,11,34663,2020-10-01
2025,1,task-based scam,35-44,NT,38,48971,2025-01-01
2021,6,investment,45-54,QLD,45,2815,2021-06-01
2020,5,investment,18-24,SA,34,20096,2020-05-01
2024,5,phishing,45-54,NT,17,32879,2024-05-01
2021,9,task-based scam,18-24,QLD,24,40839,2021-09-01
2021,3,phishing,55-64,ACT,37,1819,2021-03-01
2020,3,task-based scam,45-54,NSW,35,45108,2020-03-01
2023,9,identity theft,35-44,NT,31,6973,2023-09-01
2019,8,identity theft,65+,QLD,7,4518,2019-08-01
2023,9,financial fraud,65+,TAS,17,16142,2023-09-01
2019,10,investment,18-24,ACT,8,15529,2019-10-01
2020,10,phishing,55-64,SA,19,25631,2020-10-01
2022,8,task-based scam,18-24,NSW,16,6305,2022-08-01
2023,7,financial fraud,25-34,QLD,49,1132,2023-07-01
2021,2,identity theft,65+,ACT,23,20630,2021-02-01
2023,11,financial fraud,55-64,QLD,42,26637,2023-11-01
2020,12,phishing,18-24,VIC,48,42163,2020-12-01
2022,5,financial fraud,35-44,QLD,19,38309,2022-05-01
2022,10,financial fraud,25-34,VIC,41,38254,2022-10-01
2023,7,identity theft,55-64,VIC,9,44966,2023-07-01
2023,5,financial fraud,35-44,SA,7,41101,2023-05-01
2024,1,financial fraud,35-44,ACT,26,3090,2024-01-01
2023,11,task-based scam,18-24,SA,40,36176,2023-11-01
2020,10,identity theft,65+,VIC,40,6080,2020-10-01
2019,6,phishing,25-34,NSW,4,9569,2019-06-01
2024,6,investment,65+,SA,19,38226,2024-06-01
2019,12,phishing,35-44,SA,32,38884,2019-12-01
2021,6,identity theft,65+,TAS,24,42594,2021-06-01
2025,3,financial fraud,25-34,TAS,47,11296,2025-03-01
2020,1,identity theft,35-44,VIC,6,3176,2020-01-01
2024,7,investment,45-54,NT,43,6881,2024-07-01
2022,6,investment,55-64,QLD,45,42930,2022-06-01
2024,5,identity theft,45-54,VIC,42,21306,2024-05-01
2021,3,financial fraud,65+,ACT,41,17779,2021-03-01
2022,6,investment,18-24,QLD,32,2820,2022-06-01
2024,10,phishing,55-64,ACT,4,38985,2024-10-01
2022,9,identity theft,18-24,QLD,46,38576,2022-09-01
2023,12,identity theft,25-34,TAS,17,12265,2023-12-01
2022,8,phishing,25-34,TAS,22,9072,2022-08-01
2024,11,investment,55-64,QLD,16,14774,2024-11-01
2022,8,investment,25-34,TAS,38,8458,2022-08-01
2020,8,phishing,65+,QLD,27,11350,2020-08-01
2023,1,task-based scam,35-44,WA,2,46005,2023-01-01
2023,7,investment,18-24,VIC,7,21019,2023-07-01
2021,1,phishing,45-54,QLD,17,6219,2021-01-01
2023,7,identity theft,35-44,WA,13,32119,2023-07-01
2019,2,financial fraud,65+,QLD,5,32535,2019-02-01
2020,3,task-based scam,35-44,VIC,37,41980,2020-03-01
2021,10,financial fraud,65+,NT,26,42630,2021-10-01
2019,2,task-based scam,55-64,NT,7,5276,2019-02-01
2022,10,financial fraud,35-44,NSW,2,38505,2022-10-01
2025,1,task-based scam,45-54,TAS,1,40759,2025-01-01
2019,5,task-based scam,45-54,NT,8,30040,2019-05-01
2021,8,task-based scam,25-34,NSW,20,39900,2021-08-01
2023,12,phishing,45-54,ACT,26,22760,2023-12-01
2020,6,phishing,25-34,TAS,6,34348,2020-06-01
2025,4,identity theft,35-44,SA,22,26760,2025-04-01
2021,10,identity theft,55-64,VIC,19,2880,2021-10-01
2019,1,financial fraud,65+,ACT,31,8851,2019-01-01
2025,10,phishing,25-34,QLD,13,25126,2025-10-01
2019,2,phishing,18-24,QLD,4,17022,2019-02-01
2021,2,phishing,18-24,NT,39,11978,2021-02-01
2025,11,identity theft,45-54,NT,9,9792,2025-11-01
2024,3,investment,45-54,NSW,48,49253,2024-03-01
2024,2,financial fraud,18-24,VIC,5,48619,2024-02-01
2021,4,task-based scam,65+,NT,22,135,2021-04-01
2024,4,identity theft,55-64,QLD,31,19690,2024-04-01
2021,5,task-based scam,65+,WA,37,9004,2021-05-01
2023,9,financial fraud,18-24,QLD,15,4199,2023-09-01
2025,3,phishing,55-64,SA,15,35295,2025-03-01
2021,6,financial fraud,25-34,NT,33,15655,2021-06-01
2022,10,phishing,18-24,NT,45,11962,2022-10-01
2020,11,task-based scam,25-34,NT,21,17493,2020-11-01
2020,4,identity theft,35-44,NSW,42,42500,2020-04-01
2022,7,financial fraud,18-24,ACT,11,17906,2022-07-01
2019,4,investment,25-34,WA,27,3237,2019-04-01
2019,7,financial fraud,25-34,VIC,5,35621,2019-07-01
2019,1,financial fraud,65+,VIC,7,28126,2019-01-01
2025,9,investment,35-44,WA,8,24371,2025-09-01
2019,1,financial fraud,25-34,NSW,42,47490,2019-01-01
2023,5,task-based scam,35-44,SA,26,22040,2023-05-01
2022,8,task-based scam,35-44,SA,14,41352,2022-08-01
2020,8,financial fraud,25-34,ACT,20,4688,2020-08-01
2022,6,phishing,35-44,WA,20,21373,2022-06-01
2020,6,identity theft,55-64,NSW,36,2019,2020-06-01
2019,11,identity theft,55-64,NSW,36,43941,2019-11-01
2023,2,identity theft,35-44,QLD,14,36202,2023-02-01
2021,4,identity theft,25-34,QLD,7,47273,2021-04-01
2021,8,phishing,65+,ACT,47,7469,2021-08-01
2024,2,phishing,35-44,NSW,15,41610,2024-02-01
2019,6,phishing,18-24,NSW,4,14478,2019-06-01
2019,3,financial fraud,18-24,ACT,45,18895,2019-03-01
2022,7,financial fraud,65+,NSW,47,7551,2022-07-01
2023,9,financial fraud,55-64,NSW,21,40713,2023-09-01
2023,8,identity theft,45-54,QLD,13,43518,2023-08-01
2022,12,identity theft,18-24,NSW,20,16303,2022-12-01
2023,8,financial fraud,18-24,TAS,1,38163,2023-08-01
2025,9,identity theft,35-44,SA,22,37280,2025-09-01
2025,2,phishing,55-64,WA,35,6652,2025-02-01
2023,6,task-based scam,18-24,QLD,6,37143,2023-06-01
2025,9,phishing,18-24,SA,38,19870,2025-09-01
2021,2,investment,18-24,TAS,46,46709,2021-02-01
2023,9,phishing,25-34,TAS,2,26722,2023-09-01
2025,2,financial fraud,65+,ACT,22,25620,2025-02-01
2019,9,phishing,45-54,ACT,15,45246,2019-09-01
2021,1,investment,25-34,ACT,13,28349,2021-01-01
2019,6,investment,35-44,QLD,38,40224,2019-06-01
2019,6,phishing,35-44,SA,14,26894,2019-06-01
2025,2,financial fraud,55-64,WA,17,21434,2025-02-01
2025,11,task-based scam,25-34,ACT,40,32037,2025-11-01
2022,7,phishing,55-64,QLD,49,5790,2022-07-01
2024,10,identity theft,18-24,NT,39,1486,2024-10-01
2023,4,identity theft,55-64,VIC,30,29348,2023-04-01
2023,4,task-based scam,45-54,NT,23,9829,2023-04-01
2023,11,financial fraud,18-24,TAS,13,12543,2023-11-01
2023,9,identity theft,35-44,VIC,5,17231,2023-09-01
2025,2,phishing,65+,NT,13,38974,2025-02-01
2021,9,investment,35-44,SA,10,9138,2021-09-01
2020,9,task-based scam,18-24,QLD,16,8298,2020-09-01
2019,12,phishing,65+,VIC,3,49398,2019-12-01
2024,6,financial fraud,18-24,NSW,33,29798,2024-06-01
2024,10,identity theft,25-34,SA,25,45523,2024-10-01
2020,7,task-based scam,35-44,VIC,44,15186,2020-07-01
2020,4,identity theft,18-24,QLD,41,21766,2020-04-01
2020,1,investment,35-44,QLD,2,19224,2020-01-01
2025,9,investment,45-54,NSW,11,48237,2025-09-01
2021,9,task-based scam,18-24,NT,30,23899,2021-09-01
2020,11,financial fraud,55-64,NT,34,30739,2020-11-01
2021,1,task-based scam,55-64,WA,37,21136,2021-01-01
2025,12,task-based scam,45-54,VIC,36,26097,2025-12-01
2022,4,financial fraud,35-44,QLD,32,25765,2022-04-01
2022,7,investment,25-34,NSW,38,15437,2022-07-01
2024,3,identity theft,35-44,NT,49,35071,2024-03-01
2022,5,investment,18-24,ACT,37,45836,2022-05-01
2021,5,identity theft,65+,NSW,49,33679,2021-05-01
2021,8,identity theft,45-54,ACT,5,17575,2021-08-01
2019,9,task-based scam,35-44,WA,17,42775,2019-09-01
2020,1,task-based scam,25-34,TAS,26,27212,2020-01-01
2023,2,task-based scam,25-34,ACT,44,29922,2023-02-01
2023,11,identity theft,65+,TAS,12,23239,2023-11-01
2020,5,phishing,45-54,WA,29,17771,2020-05-01
2023,1,identity theft,18-24,TAS,26,31305,2023-01-01
2023,6,task-based scam,45-54,NT,10,29925,2023-06-01
2025,6,phishing,18-24,QLD,7,38579,2025-06-01
2023,3,phishing,45-54,WA,40,12559,2023-03-01
2024,4,investment,45-54,NT,29,33317,2024-04-01
2021,3,task-based scam,45-54,NSW,49,1726,2021-03-01
2021,5,task-based scam,35-44,SA,8,40707,2021-05-01
2021,9,phishing,55-64,VIC,32,17071,2021-09-01
2020,10,task-based scam,65+,TAS,40,660,2020-10-01
2022,3,identity theft,55-64,QLD,37,41797,2022-03-01
2024,2,financial fraud,25-34,SA,22,27420,2024-02-01
2024,6,financial fraud,35-44,ACT,25,2749,2024-06-01
2023,10,task-based scam,18-24,SA,42,26091,2023-10-01
2019,1,phishing,35-44,SA,19,4001,2019-01-01
2021,9,phishing,45-54,WA,38,46353,2021-09-01
2025,11,financial fraud,18-24,WA,14,2148,2025-11-01
2024,10,financial fraud,65+,NSW,15,1491,2024-10-01
2024,3,task-based scam,18-24,QLD,11,24070,2024-03-01
2019,3,investment,45-54,SA,45,3321,2019-03-01
2023,8,phishing,35-44,TAS,43,36429,2023-08-01
2024,12,task-based scam,65+,VIC,15,28542,2024-12-01
2024,6,identity theft,25-34,QLD,41,12081,2024-06-01
2022,3,phishing,45-54,SA,18,25187,2022-03-01
2019,6,task-based scam,35-44,WA,12,44616,2019-06-01
2025,6,phishing,65+,TAS,11,45736,2025-06-01
2025,3,investment,45-54,TAS,29,5802,2025-03-01
2023,12,investment,25-34,SA,4,6603,2023-12-01
2023,11,phishing,45-54,QLD,45,27212,2023-11-01
2021,11,phishing,18-24,QLD,4,38545,2021-11-01
2022,6,identity theft,65+,WA,5,28281,2022-06-01
2023,11,identity theft,35-44,VIC,17,27551,2023-11-01
2022,10,task-based scam,25-34,QLD,34,48883,2022-10-01
2021,12,identity theft,25-34,WA,29,2735,2021-12-01
2025,8,task-based scam,35-44,ACT,48,3754,2025-08-01
2019,9,task-based scam,45-54,ACT,48,23583,2019-09-01
2024,3,identity theft,18-24,ACT,47,8190,2024-03-01
2024,2,phishing,65+,SA,13,5531,2024-02-01
2020,10,financial fraud,55-64,TAS,9,4298,2020-10-01
2020,10,task-based scam,18-24,WA,48,33284,2020-10-01
2020,12,identity theft,65+,WA,5,11218,2020-12-01
2024,7,identity theft,45-54,NSW,31,20559,2024-07-01
2022,12,phishing,45-54,QLD,21,20192,2022-12-01
2020,8,phishing,18-24,SA,19,31340,2020-08-01
2019,11,investment,35-44,NSW,33,4724,2019-11-01
2023,9,investment,65+,NSW,23,3199,2023-09-01
2022,1,identity theft,35-44,WA,23,43725,2022-01-01
2024,1,identity theft,18-24,SA,37,4640,2024-01-01
2019,11,financial fraud,55-64,ACT,33,33830,2019-11-01
2025,1,financial fraud,45-54,SA,42,30316,2025-01-01
2024,11,phishing,65+,VIC,25,24978,2024-11-01
2022,4,identity theft,45-54,VIC,23,19242,2022-04-01
2022,12,identity theft,45-54,QLD,27,20857,2022-12-01
2022,3,identity theft,55-64,VIC,27,29075,2022-03-01
2021,7,financial fraud,55-64,VIC,12,29122,2021-07-01
2023,6,task-based scam,18-24,QLD,32,9951,2023-06-01
2020,3,task-based scam,18-24,SA,5,44691,2020-03-01
2021,12,investment,35-44,ACT,33,26654,2021-12-01
2023,3,task-based scam,35-44,NT,40,17473,2023-03-01
2024,5,investment,65+,ACT,18,41702,2024-05-01
2020,4,task-based scam,55-64,QLD,10,48262,2020-04-01
2025,9,investment,35-44,WA,2,40816,2025-09-01
2021,12,phishing,45-54,ACT,11,6435,2021-12-01
2021,1,phishing,55-64,NT,42,11677,2021-01-01
2019,1,financial fraud,55-64,NT,43,38691,2019-01-01
2025,12,financial fraud,55-64,SA,21,9108,2025-12-01
2025,12,identity theft,25-34,TAS,31,27372,2025-12-01
2021,5,phishing,55-64,QLD,33,17366,2021-05-01
2022,8,financial fraud,25-34,WA,31,32746,2022-08-01
2024,4,investment,65+,SA,36,8055,2024-04-01
2025,9,phishing,45-54,SA,5,10263,2025-09-01
2021,7,phishing,18-24,NSW,39,15289,2021-07-01
2022,3,investment,65+,NT,21,49175,2022-03-01
2023,6,investment,25-34,NT,23,2179,2023-06-01
2023,6,phishing,18-24,ACT,19,24889,2023-06-01
2025,5,identity theft,35-44,ACT,31,37219,2025-05-01
2022,8,phishing,55-64,NT,49,49158,2022-08-01
2019,11,phishing,35-44,ACT,12,9683,2019-11-01
2019,1,identity theft,65+,NT,18,34384,2019-01-01
2023,11,phishing,25-34,SA,40,40881,2023-11-01
2024,12,investment,55-64,WA,10,43959,2024-12-01
2021,11,task-based scam,25-34,TAS,27,35876,2021-11-01
2025,10,investment,55-64,TAS,39,37703,2025-10-01
2025,4,identity theft,35-44,QLD,48,23023,2025-04-01
2023,7,identity theft,55-64,TAS,24,15627,2023-07-01
2023,6,identity theft,45-54,VIC,12,29493,2023-06-01
2022,7,phishing,55-64,NSW,36,31142,2022-07-01
2019,3,identity theft,35-44,QLD,39,46779,2019-03-01
2024,3,investment,65+,WA,7,14366,2024-03-01
2022,1,investment,35-44,ACT,16,49233,2022-01-01
2023,7,identity theft,35-44,NT,39,14024,2023-07-01
2020,4,task-based scam,25-34,SA,9,41828,2020-04-01
2021,9,identity theft,18-24,TAS,13,20711,2021-09-01
2023,5,investment,18-24,ACT,28,11037,2023-05-01
2022,5,phishing,55-64,QLD,15,35464,2022-05-01
2020,9,financial fraud,45-54,NT,16,34758,2020-09-01
2020,12,financial fraud,35-44,VIC,46,28894,2020-12-01
2023,1,task-based scam,65+,NT,21,41150,2023-01-01
2024,6,investment,65+,SA,27,18238,2024-06-01
2019,8,identity theft,65+,TAS,29,34294,2019-08-01
2020,1,investment,35-44,NT,16,32430,2020-01-01
2025,12,phishing,65+,ACT,18,11649,2025-12-01
2021,10,financial fraud,45-54,ACT,27,6119,2021-10-01
2022,9,phishing,25-34,VIC,47,20644,2022-09-01
2022,8,investment,25-34,ACT,39,16811,2022-08-01
2022,6,financial fraud,18-24,NT,22,32649,2022-06-01
2025,9,identity theft,25-34,QLD,40,28954,2025-09-01
2023,3,investment,65+,SA,42,276,2023-03-01
2022,4,identity theft,18-24,WA,20,20002,2022-04-01
2025,3,financial fraud,18-24,NT,22,49115,2025-03-01
2022,5,investment,65+,WA,44,49483,2022-05-01
2021,11,financial fraud,18-24,NT,45,30125,2021-11-01
2025,12,financial fraud,18-24,ACT,47,46165,2025-12-01
2019,1,investment,25-34,QLD,48,15396,2019-01-01
2024,1,task-based scam,35-44,WA,11,27471,2024-01-01
2023,2,phishing,18-24,WA,10,16379,2023-02-01
2023,1,identity theft,65+,NSW,7,7197,2023-01-01
2022,3,financial fraud,18-24,SA,30,3963,2022-03-01
2021,2,financial fraud,18-24,ACT,20,44877,2021-02-01
2020,10,investment,55-64,NT,38,37913,2020-10-01
2025,7,identity theft,25-34,SA,9,21071,2025-07-01
2022,8,phishing,25-34,VIC,11,15878,2022-08-01
2025,2,task-based scam,55-64,VIC,15,34923,2025-02-01
2022,4,financial fraud,25-34,TAS,34,23042,2022-04-01
2023,8,investment,55-64,QLD,15,13323,2023-08-01
2023,11,financial fraud,18-24,NSW,19,19439,2023-11-01
2022,10,financial fraud,35-44,NT,24,4296,2022-10-01
2023,1,task-based scam,25-34,SA,22,28866,2023-01-01
2021,11,identity theft,18-24,SA,32,27042,2021-11-01
2020,8,task-based scam,35-44,NT,29,3401,2020-08-01
2020,8,task-based scam,25-34,TAS,14,40165,2020-08-01
2025,2,phishing,55-64,VIC,24,18019,2025-02-01
2020,3,financial fraud,35-44,NSW,5,46588,2020-03-01
2025,9,task-based scam,25-34,QLD,28,31615,2025-09-01
2022,10,financial fraud,18-24,SA,3,21673,2022-10-01
2024,5,identity theft,35-44,TAS,35,25339,2024-05-01
2022,7,investment,55-64,ACT,40,16217,2022-07-01
2022,5,financial fraud,25-34,SA,45,37661,2022-05-01
2021,10,identity theft,35-44,VIC,3,27647,2021-10-01
2020,2,identity theft,65+,NSW,29,20193,2020-02-01
2023,2,financial fraud,25-34,QLD,26,14301,2023-02-01
2023,1,phishing,65+,WA,6,41240,2023-01-01
2019,6,task-based scam,65+,QLD,14,29978,2019-06-01
2019,7,task-based scam,35-44,VIC,29,8842,2019-07-01
2025,5,task-based scam,55-64,NT,12,3424,2025-05-01
2024,3,phishing,18-24,ACT,35,5695,2024-03-01
2025,11,financial fraud,18-24,ACT,38,33041,2025-11-01
2023,10,task-based scam,18-24,NSW,6,17228,2023-10-01
2020,10,financial fraud,35-44,VIC,39,44414,2020-10-01
2025,9,phishing,65+,VIC,17,39022,2025-09-01
2022,11,investment,55-64,SA,38,32440,2022-11-01
2023,11,phishing,65+,QLD,9,33318,2023-11-01
2024,12,phishing,65+,NT,4,11899,2024-12-01
2024,8,identity theft,65+,NT,10,30251,2024-08-01
2023,2,investment,35-44,VIC,32,21539,2023-02-01
2019,3,identity theft,65+,ACT,26,27337,2019-03-01
2020,7,identity theft,55-64,SA,13,14393,2020-07-01
2023,11,financial fraud,65+,SA,5,33965,2023-11-01
2022,9,task-based scam,65+,SA,36,37721,2022-09-01
2022,2,task-based scam,18-24,NT,32,40004,2022-02-01
2021,10,identity theft,35-44,SA,15,15485,2021-10-01
2022,7,phishing,25-34,SA,33,39180,2022-07-01
2023,8,financial fraud,65+,NSW,18,29704,2023-08-01
2023,6,identity theft,35-44,VIC,6,12705,2023-06-01
2022,6,financial fraud,55-64,NSW,33,9736,2022-06-01
2019,8,phishing,45-54,QLD,46,11727,2019-08-01
2020,11,phishing,25-34,SA,10,35529,2020-11-01
2024,3,phishing,45-54,ACT,20,24994,2024-03-01
2023,8,financial fraud,35-44,QLD,48,47322,2023-08-01
2022,12,investment,55-64,NSW,33,38746,2022-12-01
2024,11,phishing,18-24,ACT,19,773,2024-11-01
2022,10,investment,25-34,ACT,18,48292,2022-10-01
2023,1,identity theft,25-34,QLD,5,18585,2023-01-01
2021,2,investment,45-54,TAS,43,24640,2021-02-01
2020,6,financial fraud,45-54,WA,8,20142,2020-06-01
2023,2,investment,45-54,WA,18,34322,2023-02-01
2024,10,financial fraud,55-64,WA,19,2375,2024-10-01
2022,2,task-based scam,18-24,SA,46,39220,2022-02-01
2021,3,phishing,18-24,NSW,14,3317,2021-03-01
2025,3,investment,65+,WA,8,49657,2025-03-01
2023,4,phishing,35-44,NT,23,29823,2023-04-01
2020,9,identity theft,55-64,TAS,26,17791,2020-09-01
2021,9,investment,45-54,NSW,2,23330,2021-09-01
2024,11,task-based scam,18-24,TAS,11,49745,2024-11-01
2022,2,identity theft,55-64,VIC,1,5481,2022-02-01
2019,2,task-based scam,18-24,WA,38,9282,2019-02-01
2025,6,identity theft,55-64,TAS,49,19683,2025-06-01
2025,5,financial fraud,55-64,NSW,18,32753,2025-05-01
2020,5,financial fraud,18-24,NSW,16,302,2020-05-01
2021,7,financial fraud,45-54,SA,36,35859,2021-07-01
2023,9,phishing,18-24,NT,40,7411,2023-09-01
2023,1,financial fraud,55-64,TAS,34,20709,2023-01-01
2021,5,phishing,55-64,VIC,48,30376,2021-05-01
2023,5,investment,55-64,TAS,38,12429,2023-05-01
2025,5,identity theft,25-34,WA,46,6409,2025-05-01
2025,9,task-based scam,65+,NSW,39,20989,2025-09-01
2025,11,identity theft,25-34,NSW,19,2960,2025-11-01
2021,6,identity theft,25-34,VIC,22,11239,2021-06-01
2020,8,investment,65+,WA,43,46245,2020-08-01
2025,8,financial fraud,45-54,VIC,16,11633,2025-08-01
2023,6,phishing,65+,WA,14,35339,2023-06-01
2020,6,identity theft,35-44,NSW,27,25418,2020-06-01
2022,10,identity theft,55-64,SA,23,31318,2022-10-01
2022,8,identity theft,35-44,TAS,2,24085,2022-08-01
2022,11,task-based scam,25-34,SA,39,33997,2022-11-01
2022,1,phishing,45-54,QLD,1,7100,2022-01-01
2023,9,identity theft,45-54,ACT,18,18300,2023-09-01
2021,11,task-based scam,25-34,QLD,11,41954,2021-11-01
2023,9,investment,55-64,QLD,9,24000,2023-09-01
2024,8,financial fraud,45-54,ACT,27,29312,2024-08-01
2023,4,investment,55-64,VIC,37,11190,2023-04-01
2020,11,phishing,55-64,SA,14,21876,2020-11-01
2021,11,identity theft,25-34,QLD,42,49241,2021-11-01
2025,1,identity theft,25-34,QLD,26,44754,2025-01-01
2019,2,task-based scam,65+,WA,3,31188,2019-02-01
2019,1,identity theft,25-34,NT,35,19644,2019-01-01
2025,11,identity theft,25-34,QLD,23,6160,2025-11-01
2021,12,identity theft,45-54,VIC,8,32507,2021-12-01
2019,3,financial fraud,25-34,TAS,2,44965,2019-03-01
2021,9,financial fraud,25-34,NT,16,38481,2021-09-01
2020,6,phishing,65+,SA,49,1147,2020-06-01
2020,5,phishing,35-44,VIC,35,5151,2020-05-01
2023,8,financial fraud,35-44,VIC,5,34101,2023-08-01
2019,10,financial fraud,25-34,NT,27,6368,2019-10-01
2025,3,investment,55-64,SA,39,25007,2025-03-01
2021,12,phishing,25-34,TAS,22,6284,2021-12-01
2020,12,task-based scam,35-44,QLD,21,23597,2020-12-01
2023,12,financial fraud,18-24,SA,17,33018,2023-12-01
2019,10,financial fraud,25-34,QLD,8,24271,2019-10-01
2019,3,identity theft,65+,SA,39,24970,2019-03-01
2019,5,phishing,18-24,VIC,25,25101,2019-05-01
2020,1,financial fraud,18-24,NSW,43,1561,2020-01-01
2020,7,phishing,45-54,QLD,43,23348,2020-07-01
2019,3,identity theft,35-44,NT,23,29148,2019-03-01
2020,11,phishing,35-44,SA,30,26588,2020-11-01
2019,2,phishing,65+,VIC,36,234,2019-02-01
2022,7,phishing,35-44,QLD,32,20106,2022-07-01
2020,1,phishing,45-54,QLD,46,6170,2020-01-01
2021,1,task-based scam,65+,WA,16,30685,2021-01-01
2020,9,phishing,45-54,NSW,21,38319,2020-09-01
2019,7,task-based scam,18-24,NT,1,20129,2019-07-01
2021,3,financial fraud,45-54,TAS,12,14705,2021-03-01
2023,5,financial fraud,18-24,QLD,23,40259,2023-05-01
2021,2,task-based scam,18-24,SA,5,40925,2021-02-01
2021,5,financial fraud,45-54,ACT,14,9373,2021-05-01
2020,9,investment,18-24,NT,38,38999,2020-09-01
2024,10,identity theft,18-24,NSW,13,35965,2024-10-01
2021,5,identity theft,55-64,VIC,21,31160,2021-05-01
2021,1,identity theft,45-54,WA,27,18051,2021-01-01
2025,11,identity theft,45-54,ACT,27,6579,2025-11-01
2019,8,financial fraud,35-44,NSW,33,16619,2019-08-01
2020,6,identity theft,25-34,NT,40,43445,2020-06-01
2019,2,phishing,65+,SA,23,32279,2019-02-01
2020,11,task-based scam,25-34,VIC,32,13986,2020-11-01
2023,6,financial fraud,45-54,WA,29,34221,2023-06-01
2024,9,identity theft,65+,VIC,18,7126,2024-09-01
2021,3,financial fraud,35-44,QLD,14,34591,2021-03-01
2025,5,identity theft,18-24,SA,49,46552,2025-05-01
2020,7,investment,25-34,TAS,31,41296,2020-07-01
2021,10,investment,55-64,NSW,9,13243,2021-10-01
2021,2,financial fraud,65+,TAS,10,44859,2021-02-01
2022,11,investment,35-44,NT,29,30671,2022-11-01
2019,1,phishing,65+,QLD,48,26653,2019-01-01
2024,5,phishing,45-54,TAS,2,23644,2024-05-01
2025,4,task-based scam,18-24,NSW,40,8572,2025-04-01
2020,9,investment,18-24,NT,39,34357,2020-09-01
2023,10,financial fraud,55-64,SA,11,31449,2023-10-01
2024,4,financial fraud,25-34,QLD,11,39884,2024-04-01
2022,7,investment,18-24,NT,32,26147,2022-07-01
2019,5,task-based scam,25-34,NT,37,48207,2019-05-01
2023,5,identity theft,25-34,NSW,1,3998,2023-05-01
2023,6,identity theft,25-34,SA,23,15586,2023-06-01
2021,8,identity theft,55-64,NT,31,32026,2021-08-01
2019,4,task-based scam,65+,TAS,21,49175,2019-04-01
2022,9,investment,18-24,ACT,24,9703,2022-09-01
2020,6,financial fraud,35-44,TAS,30,20764,2020-06-01
2020,8,task-based scam,35-44,QLD,22,25542,2020-08-01
2022,4,task-based scam,18-24,QLD,14,8312,2022-04-01
2021,9,phishing,35-44,VIC,29,20689,2021-09-01
2021,11,phishing,45-54,TAS,49,19222,2021-11-01
2023,11,investment,65+,QLD,20,46498,2023-11-01
2019,9,financial fraud,35-44,QLD,17,10979,2019-09-01
2023,1,identity theft,65+,VIC,40,39708,2023-01-01
2025,1,identity theft,25-34,QLD,9,32074,2025-01-01
2025,7,identity theft,25-34,TAS,43,39648,2025-07-01
2020,3,identity theft,25-34,SA,5,11428,2020-03-01
2022,7,investment,35-44,VIC,46,484,2022-07-01
2019,1,investment,25-34,VIC,21,49366,2019-01-01
2022,1,phishing,25-34,QLD,1,45918,2022-01-01
2019,7,identity theft,55-64,SA,47,48382,2019-07-01
2024,4,identity theft,55-64,ACT,39,3614,2024-04-01
2020,2,financial fraud,18-24,TAS,25,18708,2020-02-01
2020,5,identity theft,45-54,NSW,6,35498,2020-05-01
2024,5,investment,35-44,QLD,13,17734,2024-05-01
2019,4,phishing,25-34,VIC,17,41532,2019-04-01
2021,9,task-based scam,25-34,SA,39,18753,2021-09-01
2019,2,identity theft,18-24,ACT,18,887,2019-02-01
2020,4,identity theft,55-64,NT,10,1899,2020-04-01
2025,2,task-based scam,35-44,ACT,43,13021,2025-02-01
2022,11,task-based scam,25-34,WA,25,527,2022-11-01
